"ID" "X1" "X2" "X3" "X4" "X5" "X6" "X7" "X8" "X9" "X10" "X11" "X12" "X13" "X14" "X15" "X16" "X17" "X18" "X19" "X20" "X21" "X22" "X23" "X24" "X25" "X26" "height" "weight" "gender" "grade"
56 1 0 1 1 0 0 1 0 1 0 0 0 1 1 0 0 1 0 1 0 0 1 1 0 1 0 190 91 2 4.9
57 0 1 1 1 1 0 1 0 1 1 1 1 1 1 1 9 1 0 1 0 0 0 0 0 1 0 160 57 1 99
58 1 0 1 1 0 0 1 0 9 1 1 0 1 1 1 0 1 1 0 1 0 0 0 0 1 0 181 99 1 6.7
59 1 0 1 1 0 0 0 1 1 1 0 1 1 1 1 0 1 0 1 1 0 0 1 0 9 0 176 74 1 5.8
60 1 1 1 9 9 0 0 1 1 1 0 1 1 1 1 0 1 1 0 1 0 0 0 0 1 9 177 81 2 99
61 1 0 0 0 0 0 1 0 0 1 1 1 1 1 0 0 1 0 0 1 0 0 1 0 1 0 179 82 2 4.3
62 0 1 1 1 0 1 1 0 1 1 0 0 1 0 0 0 9 1 0 1 0 9 1 0 1 0 170 69 2 4.1
63 1 0 0 1 1 1 1 0 1 1 0 9 1 1 0 1 1 0 0 1 0 0 0 0 1 0 172 73 2 7.4
64 1 0 1 1 0 0 1 1 0 1 0 1 0 1 1 0 1 1 0 1 1 9 9 0 1 0 165 64 1 7.6
65 0 0 1 1 0 1 0 0 1 0 1 1 1 1 0 0 1 0 0 1 0 0 1 1 1 1 164 63 2 7.4
66 1 0 1 1 0 1 1 0 1 0 1 1 1 1 0 0 1 0 0 1 0 0 0 0 1 0 999 76 4 6.8
67 1 1 1 1 0 0 1 0 1 1 1 1 1 9 0 1 1 0 1 1 1 1 1 0 1 0 179 78 1 7.1
68 0 1 1 1 0 0 1 0 1 1 1 0 1 1 1 0 1 0 0 9 1 1 1 0 1 0 176 79 1 4.6
69 1 0 1 1 0 0 1 0 0 0 1 1 0 1 0 0 1 0 1 1 0 0 9 0 1 0 184 84 2 7.4
70 1 0 1 0 0 0 1 1 0 0 1 1 1 1 1 0 1 0 0 1 0 0 1 0 1 0 196 96 1 4.7
71 0 0 9 1 1 0 1 0 1 1 0 1 1 0 1 0 1 0 0 1 9 0 0 0 1 1 170 70 2 5.5
72 1 0 1 1 0 0 9 0 1 1 0 0 0 1 1 0 1 0 0 0 0 0 1 1 0 0 152 54 2 3
73 1 0 1 1 0 0 1 0 0 1 0 1 1 1 0 0 0 0 1 1 0 0 1 0 1 1 185 84 1 4.8
74 1 1 1 0 0 0 0 0 1 1 0 1 0 1 0 1 0 0 0 1 0 0 1 0 1 0 168 66 1 7.4
75 0 0 1 1 0 9 0 1 1 1 0 1 1 1 0 0 1 1 0 1 1 0 1 1 1 0 168 71 1 7.4
76 1 0 1 1 0 0 0 0 1 9 0 0 1 0 0 1 1 0 0 0 0 1 1 0 1 0 185 84 2 6.3
77 1 1 0 0 0 0 1 0 1 1 0 1 1 1 0 0 1 1 1 1 1 0 1 0 1 1 172 71 2 4.7
78 1 0 1 1 0 9 1 0 0 9 1 1 1 1 1 0 1 1 1 1 0 1 1 1 1 0 163 61 1 8.3
79 1 0 1 1 1 0 1 1 1 1 0 1 1 1 0 0 1 0 1 1 0 1 1 0 1 0 177 74 1 3.9
80 1 9 1 1 0 0 1 0 1 1 1 0 1 1 0 1 1 0 1 1 0 0 1 1 1 0 174 73 2 6.4
81 0 0 0 0 0 0 0 0 1 1 0 1 1 1 1 0 1 0 0 1 0 0 1 0 1 1 175 76 4 5.6
82 1 0 1 9 1 0 1 0 1 9 0 1 1 0 0 1 1 0 1 1 0 0 0 1 1 0 179 81 1 4.7
83 1 0 9 1 0 0 0 0 1 1 1 1 1 0 1 0 0 0 0 1 1 0 1 0 1 0 171 72 1 6.7
84 1 0 1 1 0 9 1 0 1 1 1 0 1 1 0 0 0 0 0 1 0 0 0 0 1 0 181 80 2 5.1
85 1 0 1 1 0 1 1 0 1 9 1 1 9 1 0 0 1 0 0 1 9 1 0 0 0 0 173 73 2 6.6
86 1 0 1 1 0 0 1 1 1 1 0 0 1 1 0 0 1 9 1 1 0 1 1 0 0 0 178 77 1 7.2
87 1 0 1 1 0 9 1 0 1 0 0 1 1 1 0 1 1 0 1 1 0 1 1 1 0 0 999 85 1 7.3
88 1 0 1 0 0 0 1 0 1 0 0 9 1 0 0 0 0 0 0 1 9 0 1 0 0 0 179 81 1 7
89 1 1 1 1 1 0 0 0 1 1 0 1 1 1 0 0 1 0 1 1 0 0 0 0 0 1 172 70 2 8.6
90 1 0 1 1 0 1 0 0 1 1 0 0 0 1 1 0 1 0 1 1 0 0 0 0 1 0 186 90 2 4.9
91 0 0 0 1 0 0 1 0 1 1 0 1 1 1 0 1 0 0 0 1 0 1 1 1 1 0 185 85 1 8.9
92 1 1 1 1 0 0 1 0 1 1 0 1 1 0 0 9 1 0 0 1 0 0 9 1 1 0 180 80 1 5.7
93 0 0 1 1 0 0 0 0 1 1 0 1 1 0 0 0 0 0 0 1 0 0 0 0 9 0 177 76 1 5.4
94 1 0 1 1 1 1 1 1 1 1 0 1 1 1 0 9 1 0 0 1 0 0 1 1 1 0 169 99 9 7.5
95 1 0 1 0 0 1 1 0 1 1 0 0 1 1 0 0 1 0 1 0 0 0 1 0 1 0 189 86 2 6.7
96 1 0 0 1 1 1 1 0 0 1 0 1 9 0 0 0 9 1 1 1 0 0 1 0 1 0 169 69 2 7.6
97 1 1 1 1 0 0 1 1 1 9 0 1 1 1 1 0 1 0 0 1 0 0 1 0 1 1 197 98 1 6
98 1 0 0 0 0 9 1 0 1 1 1 9 1 1 0 0 1 0 1 1 0 0 0 1 1 0 190 91 1 7.8
99 1 0 1 1 0 1 0 0 1 1 0 1 0 1 0 9 1 0 1 1 0 0 1 1 1 0 173 71 2 6.7
100 1 0 1 0 0 1 0 0 1 0 1 1 1 0 0 0 1 0 0 0 0 0 0 0 1 0 165 63 1 6.8
101 1 0 1 9 9 0 1 1 0 1 0 1 1 0 1 0 1 0 0 1 0 0 1 0 1 1 168 67 2 6.5
102 1 1 1 1 0 0 1 1 9 1 0 9 1 0 9 1 1 1 0 1 0 0 1 0 9 0 178 81 2 8.5
103 1 0 9 1 0 0 1 0 1 1 1 0 1 1 0 0 0 0 0 0 0 1 1 0 1 1 173 71 1 4.3
104 1 0 0 1 1 0 1 0 1 9 0 1 1 1 0 0 1 9 0 0 0 0 1 1 1 0 172 72 2 4.1
105 1 1 1 1 0 1 1 1 1 0 0 1 1 0 0 1 1 1 0 1 0 0 1 1 1 0 165 69 1 6.8
106 1 1 1 1 0 0 0 0 1 1 0 1 0 1 0 1 1 0 0 0 0 0 1 1 1 1 175 75 2 9.1
107 1 1 1 0 0 0 1 0 1 1 0 0 1 1 0 0 1 0 0 0 1 9 1 0 1 1 999 64 2 6.6
108 0 0 0 1 0 0 1 1 1 0 1 1 1 1 0 0 1 0 0 0 0 0 1 0 1 0 158 57 2 5.8
109 1 1 1 1 0 1 1 9 1 1 0 1 1 0 0 0 1 0 0 1 0 0 0 1 1 1 171 72 2 3.9
110 1 0 1 1 0 0 1 1 1 9 0 1 1 1 9 0 0 1 0 1 0 0 1 0 1 0 184 83 2 8.1
111 1 1 1 1 1 1 1 0 0 0 0 1 0 1 0 0 1 1 0 9 9 0 1 0 1 0 169 68 2 7.2
112 1 1 1 1 0 1 9 0 1 1 0 1 1 1 1 1 1 0 0 1 0 1 0 0 1 0 181 80 9 6.7
113 1 0 0 1 1 0 1 0 1 1 0 1 1 1 0 9 1 0 1 1 1 0 1 0 1 0 159 59 1 7.7
114 1 0 1 1 1 1 1 0 1 1 0 1 1 1 0 1 1 0 0 1 1 0 0 0 1 1 174 99 2 5.3
115 1 0 1 1 0 0 1 0 1 1 0 1 0 1 1 0 1 1 0 1 0 0 0 1 1 0 180 80 2 6.9
116 1 0 1 1 0 1 1 0 0 0 0 1 1 1 1 1 1 0 0 1 0 0 1 0 1 0 178 80 2 5
117 1 0 1 0 1 0 1 0 1 1 0 1 1 1 1 9 1 0 0 1 0 0 1 0 1 0 176 77 9 8.2
118 1 0 0 1 0 0 1 1 1 1 9 1 9 1 0 0 0 1 0 0 0 0 1 0 0 0 169 69 1 3.5
119 1 0 1 1 9 0 1 0 0 1 0 1 1 1 0 1 1 1 0 1 0 0 0 0 1 0 999 64 1 6.5
120 1 1 0 1 0 0 1 1 1 0 0 1 1 1 9 1 1 0 1 1 0 1 0 0 1 0 165 64 1 6.2
121 0 1 1 0 0 0 1 0 1 1 0 1 1 1 0 0 9 0 0 9 0 1 9 1 1 0 176 75 1 5
122 1 0 1 1 0 1 9 0 0 1 0 0 0 0 1 0 9 0 0 1 0 0 1 9 0 0 166 66 2 5.9
123 1 1 0 1 0 1 1 0 1 0 0 1 1 0 0 0 1 1 1 1 0 0 1 0 1 0 170 73 2 5.7
124 0 0 1 1 1 0 1 0 1 1 0 0 1 0 0 0 1 0 1 1 0 0 0 0 1 0 172 77 2 5
125 0 0 0 1 0 0 1 0 0 1 0 9 1 0 1 0 1 0 0 1 0 0 0 0 1 1 193 96 2 3.9
126 0 0 1 1 9 0 1 0 0 1 0 1 1 0 0 0 1 9 0 1 1 0 1 1 1 1 168 68 2 9.2
127 1 0 1 9 1 0 1 1 1 0 1 1 1 1 0 0 1 0 0 1 0 0 1 1 9 1 177 73 2 4.2
128 0 0 0 1 0 1 1 1 1 1 0 1 1 1 0 9 0 0 0 1 1 0 1 0 1 0 176 75 1 6.2
129 1 0 1 1 0 0 1 0 0 0 0 0 1 0 0 0 1 1 0 1 0 1 1 0 0 0 165 65 2 6.3
130 1 0 0 1 0 0 1 1 0 1 0 1 1 1 1 0 0 0 0 1 0 0 0 0 1 1 174 76 2 4.9
131 1 1 9 1 0 0 0 9 1 0 1 0 1 1 0 0 1 0 1 1 0 0 1 0 1 0 189 91 2 6.8
132 1 0 1 1 1 0 1 0 1 0 1 1 1 1 0 1 1 9 0 1 1 0 1 9 1 0 180 81 2 4.7
133 1 0 0 0 0 1 1 0 1 0 0 1 1 1 0 1 0 0 0 1 0 0 1 0 1 0 175 72 2 99
134 1 0 1 1 0 1 0 0 1 1 1 1 9 0 1 1 1 0 1 1 1 0 1 0 1 9 171 73 2 4
135 0 0 1 0 0 0 1 1 1 0 9 1 9 1 1 1 1 0 0 1 0 0 1 0 1 0 154 53 9 5.6
136 1 0 1 1 0 0 0 0 1 9 0 1 0 1 1 0 0 0 0 0 1 0 1 0 1 0 186 99 2 7.1
137 1 0 1 0 0 1 1 0 1 1 1 1 0 1 1 0 1 0 1 1 0 0 1 0 0 0 160 60 1 2.8
138 1 1 1 1 0 0 1 0 1 1 0 1 0 1 0 0 1 0 1 1 1 0 1 1 1 0 182 83 2 6.2
139 1 0 0 1 0 1 1 0 1 1 1 1 1 1 1 0 1 0 0 1 0 0 1 1 0 0 194 94 2 7.3
140 1 0 1 1 0 0 1 1 1 1 0 0 9 1 0 1 0 1 1 1 1 1 1 0 1 0 161 58 1 7
141 1 0 1 1 1 0 0 0 9 1 0 1 0 1 0 0 1 0 9 1 0 1 1 0 1 0 182 83 2 7.5
